                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.0771,                 1.0766,                 1.3421,                0.81042,                0.69978,                0.76435,                0.53037,                 1.6609,                 1.4448,                 1.6609,               0.006766,               0.006766,               0.006766
                    100,                  1.081,                  1.066,                 1.3357,                0.77545,                0.71118,                0.76224,                0.53696,                 1.6257,                 1.3759,                 1.6429,               0.006733,               0.006733,               0.006733
                    101,                 1.0716,                 1.0486,                 1.3225,                0.84934,                0.66984,                0.74933,                0.54533,                 1.7039,                 1.4662,                 1.6876,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0878,                 1.0762,                 1.3433,                0.75776,                0.68617,                0.74081,                0.52902,                 1.7215,                 1.4282,                 1.6965,               0.006667,               0.006667,               0.006667
                    103,                 1.0532,                 1.0489,                 1.3292,                0.77603,                0.73047,                0.75915,                0.54385,                 1.6521,                 1.4002,                 1.6788,               0.006634,               0.006634,               0.006634
                    104,                 1.0434,                  1.039,                 1.3103,                0.80093,                0.74805,                0.78355,                0.57076,                 1.5712,                  1.314,                    1.6,               0.006601,               0.006601,               0.006601
                    105,                  1.043,                 1.0314,                 1.3224,                0.77769,                0.73283,                0.76313,                0.57102,                 1.5285,                 1.3483,                 1.5841,               0.006568,               0.006568,               0.006568
                    106,                 1.0403,                 1.0197,                 1.3127,                0.76446,                0.72548,                0.76511,                0.54731,                 1.5815,                 1.3933,                 1.5843,               0.006535,               0.006535,               0.006535
                    107,                 1.0457,                 1.0049,                 1.3076,                0.76872,                0.72904,                0.77842,                0.55931,                  1.603,                 1.3999,                 1.6418,               0.006502,               0.006502,               0.006502
                    108,                 1.0233,                0.98968,                 1.2977,                0.82194,                0.72515,                 0.7756,                 0.5551,                 1.5798,                 1.3763,                 1.6136,               0.006469,               0.006469,               0.006469
                    109,                 1.0347,                 1.0285,                 1.3037,                0.77381,                 0.7238,                0.76949,                0.56634,                 1.5733,                 1.3296,                 1.5879,               0.006436,               0.006436,               0.006436
                    110,                 1.0154,                0.99784,                 1.2919,                0.73222,                0.72036,                0.76898,                0.53474,                 1.6305,                 1.3925,                 1.6374,               0.006403,               0.006403,               0.006403
                    111,                 1.0444,                 1.0329,                 1.3039,                0.81853,                0.75878,                0.78871,                0.56835,                 1.5727,                 1.2816,                 1.6241,                0.00637,                0.00637,                0.00637
                    112,                 1.0397,                 1.0351,                 1.3151,                0.81114,                0.73153,                0.77261,                0.56526,                 1.6554,                 1.3468,                  1.669,               0.006337,               0.006337,               0.006337
                    113,                 1.0258,                0.99403,                 1.2959,                 0.8506,                0.71519,                0.78494,                0.57039,                 1.6053,                 1.3651,                 1.6178,               0.006304,               0.006304,               0.006304
