                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.5473,                 1.5638,                 1.6472,                0.46546,                0.34969,                0.39574,                0.21249,                 2.0566,                 2.2205,                 1.9745,               0.006898,               0.006898,               0.006898
                     97,                 1.5544,                 1.5681,                 1.6439,                0.61524,                0.34657,                0.39764,                0.19006,                 2.0936,                 2.2528,                 2.0012,               0.006865,               0.006865,               0.006865
                     98,                 1.5459,                  1.564,                 1.6403,                0.42186,                0.38638,                 0.4047,                0.21219,                 1.9656,                 2.2124,                 1.9525,               0.006832,               0.006832,               0.006832
                     99,                 1.5419,                 1.5531,                 1.6277,                 0.6312,                0.40683,                0.44377,                0.24748,                 1.9706,                 1.9817,                 1.9345,               0.006799,               0.006799,               0.006799
                    100,                 1.5439,                 1.5543,                 1.6205,                0.68941,                0.41565,                0.46738,                0.22735,                 2.0692,                 1.9975,                 2.0055,               0.006766,               0.006766,               0.006766
                    101,                 1.5111,                 1.5332,                 1.6093,                0.52545,                0.32787,                0.40463,                0.22483,                  2.089,                 2.3161,                 2.0082,               0.006733,               0.006733,               0.006733
                    102,                 1.5574,                 1.5404,                 1.6508,                0.46342,                0.39075,                0.41733,                0.23464,                 2.0117,                 2.0595,                 1.9682,                 0.0067,                 0.0067,                 0.0067
                    103,                  1.515,                 1.5116,                 1.6234,                0.49581,                0.47127,                0.45451,                0.24848,                 1.9311,                 2.0129,                 1.9551,               0.006667,               0.006667,               0.006667
                    104,                 1.4945,                 1.5113,                 1.6159,                0.36752,                0.37055,                0.36527,                0.18945,                 2.0237,                 2.3926,                 2.0099,               0.006634,               0.006634,               0.006634
                    105,                 1.5016,                 1.4581,                  1.606,                0.37749,                0.42986,                0.39311,                0.20132,                 2.0753,                 2.2143,                 2.0214,               0.006601,               0.006601,               0.006601
                    106,                 1.5394,                 1.5302,                 1.6183,                0.38269,                0.44182,                0.37999,                0.19044,                 2.0079,                 2.2404,                 1.9897,               0.006568,               0.006568,               0.006568
                    107,                 1.5034,                 1.4965,                  1.593,                0.45677,                0.37469,                0.41399,                 0.2223,                 1.9953,                  2.042,                 1.9815,               0.006535,               0.006535,               0.006535
                    108,                  1.499,                 1.5045,                 1.5906,                0.40325,                0.42188,                0.40772,                0.20372,                 2.0462,                 2.1856,                 2.0345,               0.006502,               0.006502,               0.006502
                    109,                 1.4884,                 1.4706,                    1.6,                0.44828,                0.46346,                0.43852,                0.23263,                 2.0351,                 2.0422,                 1.9814,               0.006469,               0.006469,               0.006469
                    110,                    1.5,                 1.4847,                 1.5981,                0.57516,                0.40694,                0.45714,                0.23984,                 2.0064,                 2.2124,                 2.0209,               0.006436,               0.006436,               0.006436
                    111,                 1.4913,                 1.4979,                 1.5998,                0.52682,                0.38411,                0.43514,                0.22996,                 2.0249,                 2.1824,                 2.0387,               0.006403,               0.006403,               0.006403
                    112,                 1.4665,                  1.475,                 1.5675,                0.48828,                0.34153,                0.39874,                0.22051,                 2.0234,                 2.1672,                 2.0358,                0.00637,                0.00637,                0.00637
                    113,                   1.46,                 1.4573,                 1.5652,                0.43895,                 0.4206,                 0.4129,                0.21513,                   2.03,                 2.1336,                 1.9632,               0.006337,               0.006337,               0.006337
                    114,                 1.4907,                 1.4705,                 1.5881,                0.42017,                0.38724,                0.40069,                 0.1984,                 2.0601,                 2.0714,                  2.001,               0.006304,               0.006304,               0.006304
                    115,                 1.4681,                  1.472,                 1.5726,                0.51474,                0.39704,                0.43257,                0.23916,                 1.9781,                 2.0904,                 1.9298,               0.006271,               0.006271,               0.006271
                    116,                 1.4584,                 1.4587,                 1.5735,                0.55115,                0.42421,                0.45271,                0.23843,                 2.0148,                 2.0216,                 1.9644,               0.006238,               0.006238,               0.006238
                    117,                 1.4576,                 1.4653,                 1.5673,                0.56575,                0.36074,                0.42929,                0.22335,                 2.0413,                 2.2396,                 1.9859,               0.006205,               0.006205,               0.006205
                    118,                  1.464,                 1.4345,                 1.5572,                0.52847,                0.31388,                0.39832,                0.18653,                  2.118,                 2.3065,                 2.0243,               0.006172,               0.006172,               0.006172
                    119,                 1.4725,                  1.448,                 1.5745,                0.45271,                0.38396,                0.39926,                0.17889,                 2.1524,                 2.2422,                 2.0805,               0.006139,               0.006139,               0.006139
                    120,                 1.4326,                 1.3972,                 1.5369,                0.44688,                0.33462,                0.37708,                0.20301,                 2.0281,                 2.3832,                 1.9909,               0.006106,               0.006106,               0.006106
